8206325,complete ratio: [0.93271462 0.80606061 0.5136612 ], critic loss: 24.239042032571486, actor loss: 1.060442184892257
load ratio std: 0.08622150479093083, task latency mean: 18.77434225844839,complete ratio: [0.94405594 0.84722222 0.43564356], critic loss: 27.50098631850266, actor loss: 1.6113219711142386
load ratio std: 0.08170866458884483, task latency mean: 19.81648730725907,complete ratio: [0.95164835 0.78169014 0.54418605], critic loss: 26.080646025968548, actor loss: 0.3141520626302731
load ratio std: 0.12055438055692319, task latency mean: 18.549635941173186,complete ratio: [0.95205479 0.71009772 0.5       ], critic loss: 24.29409989710671, actor loss: 1.3914837045622357
load ratio std: 0.07099064839903801, task latency mean: 17.937598414224603,complete ratio: [0.93952484 0.8113879  0.58031088], critic loss: 22.4576312605741, actor loss: -0.01029223823746297
load ratio std: 0.08173347285426645, task latency mean: 20.978755538590892,complete ratio: [0.94222222 0.71571906 0.50731707], critic loss: 21.82437509475762, actor loss: 1.1484728015767771
load ratio std: 0.08525524219229426, task latency mean: 20.985788705448467,complete ratio: [0.89356984 0.80201342 0.47150259], critic loss: 23.582163512770826, actor loss: 2.1989555956466957
load ratio std: 0.08674900048742333, task latency mean: 17.289082725518778,complete ratio: [0.88341969 0.83333333 0.54301075], critic loss: 25.013587675904212, actor loss: 1.0522727027992669
load ratio std: 0.08452171519061905, task latency mean: 19.56055577706998,complete ratio: [0.93607306 0.73101266 0.53038674], critic loss: 25.95978838705804, actor loss: 1.3580798580674354
load ratio std: 0.07527156617584539, task latency mean: 18.377708715338514,complete ratio: [0.97584541 0.77891156 0.54854369], critic loss: 23.960763474315556, actor loss: -0.1579892024086941
load ratio std: 0.08286344566704361, task latency mean: 19.928977081795363,complete ratio: [0.93071594 0.83157895 0.47867299], critic loss: 22.91029595809416, actor loss: 1.9591491368362681
load ratio std: 0.2050368185362787, task latency mean: 18.55078467668866,complete ratio: [0.89647577 0.81021898 0.43298969], critic loss: 24.62189818486778, actor loss: 0.888447890774855
load ratio std: 0.0883486485007892, task latency mean: 18.307382311259694,complete ratio: [0.97087379 0.81469649 0.5       ], critic loss: 24.95313711674378, actor loss: -0.7892806627447411
load ratio std: 0.4407388366087256, task latency mean: 19.769006049842428,complete ratio: [0.92210526 0.66536965 0.59313725], critic loss: 23.471247001166752, actor loss: -0.2599800448127808
load ratio std: 0.08766314186260363, task latency mean: 18.85359921033366,complete ratio: [0.97387173 0.70163934 0.54891304], critic loss: 22.04627673418317, actor loss: 1.4241479179959688
load ratio std: 0.09519591289450727, task latency mean: 20.297886814661002,complete ratio: [0.82646421 0.78798587 0.58031088], critic loss: 22.61434193396275, actor loss: 2.9944543841100484
load ratio std: 0.39022363056275233, task latency mean: 21.398143002259783,complete ratio: [0.97772829 0.78125    0.44791667], critic loss: 26.39884660664459, actor loss: 3.1240826882599664
load ratio std: 0.08568412175824826, task latency mean: 18.547744792172427,complete ratio: [0.97142857 0.8828125  0.46629213], critic loss: 26.920045585847316, actor loss: 2.099520645885307
load ratio std: 0.07727838315360035, task latency mean: 17.302472880347647,complete ratio: [0.97022333 0.73248408 0.44632768], critic loss: 27.883178315088152, actor loss: 1.5425018719809773
load ratio std: 0.07782915190266626, task latency mean: 21.736963334261144,complete ratio: [0.92325056 0.85765125 0.46601942], critic loss: 26.539359352955255, actor loss: 0.42390933914645973
load ratio std: 0.11410918968656032, task latency mean: 20.269587867635437,complete ratio: [0.95804196 0.76425856 0.4587156 ], critic loss: 26.312606181237708, actor loss: 2.03906649194981
load ratio std: 0.11830156606510574, task latency mean: 21.400360093474774,complete ratio: [0.95011876 0.82807018 0.38571429], critic loss: 25.112169301472694, actor loss: 4.357102692736529
load ratio std: 0.08078246031937168, task latency mean: 22.620310848232254,complete ratio: [0.9148073  0.80357143 0.44949495], critic loss: 25.408963849759605, actor loss: 3.2010314765327395
load ratio std: 0.20165452045217647, task latency mean: 19.61128168422419,complete ratio: [0.93534483 0.81270903 0.47979798], critic loss: 24.08193743375762, actor loss: 6.107966057787996
load ratio std: 0.08410088849305292, task latency mean: 19.884465460904064,complete ratio: [0.94144144 0.81227437 0.4742268 ], critic loss: 23.762096843405253, actor loss: 3.8575812178783595
load ratio std: 0.07827583560653671, task latency mean: 21.212275434697737,complete ratio: [0.97964377 0.79003559 0.43589744], critic loss: 23.28742654172641, actor loss: 3.4729572489566336
load ratio std: 0.248934467674403, task latency mean: 17.88534216797202,complete ratio: [1.         0.7492163  0.54450262], critic loss: 24.0920415646148, actor loss: 3.091306636206626
load ratio std: 0.15720599457770326, task latency mean: 19.75152648378007,complete ratio: [0.94384449 0.74377224 0.48858447], critic loss: 23.892191747158527, actor loss: 3.1258098731280475
load ratio std: 0.07691714250684845, task latency mean: 20.262516881033307,complete ratio: [0.96491228 0.75585284 0.51111111], critic loss: 25.653764452232394, actor loss: 2.05119708582729
load ratio std: 0.07934802757236266, task latency mean: 19.641886513402188,complete ratio: [0.92       0.73666667 0.55288462], critic loss: 26.41706622986435, actor loss: 2.2574539408465943
load ratio std: 0.20214980306503175, task latency mean: 16.617580567016027,complete ratio: [0.91628959 0.83394834 0.52970297], critic loss: 28.202727883588597, actor loss: 1.4057057822397405
load ratio std: 0.08032543212704756, task latency mean: 18.074405017349363,complete ratio: [0.89539749 0.90064103 0.49275362], critic loss: 26.621661121371858, actor loss: -0.6975435235259932
load ratio std: 0.11533800656864819, task latency mean: 19.320868351660653,complete ratio: [0.93111639 0.82517483 0.46568627], critic loss: 28.09717476031806, actor loss: -2.0645799736595523
load ratio std: 0.0825962254105038, task latency mean: 20.33765123429077,complete ratio: [0.93766234 0.76950355 0.41414141], critic loss: 27.44470732624014, actor loss: 0.6567567816893511
load ratio std: 0.08171478299296735, task latency mean: 18.964276291986202,complete ratio: [0.91777778 0.7980456  0.49509804], critic loss: 25.301308496240868, actor loss: 2.1086850765634617
load ratio std: 0.07954520098858084, task latency mean: 22.10829225786091,complete ratio: [0.93362832 0.8409894  0.375     ], critic loss: 25.944893590358426, actor loss: 3.863595172625427
load ratio std: 0.0844155962524589, task latency mean: 20.154061347816278,complete ratio: [0.96103896 0.73986486 0.58673469], critic loss: 26.264898549345595, actor loss: 4.168993203339106
load ratio std: 0.08049232077351345, task latency mean: 18.096706150807677,complete ratio: [0.92656587 0.79354839 0.53658537], critic loss: 27.294310704011984, actor loss: 2.765691391888574
load ratio std: 0.08328959272098262, task latency mean: 20.374157571771384,complete ratio: [0.9212766  0.77631579 0.53960396], critic loss: 25.98509820267899, actor loss: 3.9387145859026873
load ratio std: 0.08767528105532722, task latency mean: 20.47053318368419,complete ratio: [0.94379391 0.75352113 0.56989247], critic loss: 25.531566564323278, actor loss: 1.9552934533937745
load ratio std: 0.0782710767228396, task latency mean: 20.485471655557486,complete ratio: [0.95764706 0.70358306 0.59278351], critic loss: 27.501191812217105, actor loss: 4.799961854523731
load ratio std: 0.08265692583813528, task latency mean: 17.03726034912684,complete ratio: [0.92825112 0.86173633 0.57458564], critic loss: 27.97292423980346, actor loss: 1.1709130077978536
load ratio std: 0.08627412706522507, task latency mean: 18.71086013878441,complete ratio: [0.89035088 0.74074074 0.50877193], critic loss: 26.04638361670817, actor loss: -0.7777310141641618
